description,amount,category
online course fee for family,11400,Education
video game using cash,7450,Entertainment
mobile phone bill this week,9750,Bills
movie night this month,8450,Entertainment
bought rice in Rawalpindi,9150,Groceries
bought eggs using card,5050,Groceries
subscription bill payment,9600,Bills
coffee at cafe using card,2900,Food
lab test fee expense,11100,Healthcare
internet charges near home,4050,Bills
breakfast at restaurant expense,1550,Food
concert ticket for family,5350,Entertainment
concert ticket for family,8600,Entertainment
bought rice,1750,Groceries
cinema ticket,9600,Entertainment
lab test fee expense,1100,Healthcare
cinema ticket this week,5550,Entertainment
uber ride for family,3450,Transport
car fuel this month,5200,Transport
internet charges near home,11200,Bills
streaming subscription using card,6850,Entertainment
coffee at cafe using card,1450,Food
miscellaneous item using cash,4950,Other
bought clothes this week,25100,Shopping
dental checkup this month,11300,Healthcare
dental checkup this month,14100,Healthcare
car fuel this month,9250,Transport
bought burger for family,1550,Food
bought medicine today,800,Healthcare
water charges in Rawalpindi,5550,Utilities
movie ticket today,8800,Entertainment
water bill,10250,Utilities
pharmacy purchase this week,2100,Healthcare
dental checkup this month,6150,Healthcare
bank bill payment this month,8800,Bills
hospital fee,7050,Healthcare
rickshaw fare in Rawalpindi,3450,Transport
sports event ticket expense,8100,Entertainment
ordered pizza this week,1600,Food
careem ride near home,3500,Transport
miscellaneous expense today,4550,Other
bought clothes this week,28650,Shopping
petrol for car today,1850,Transport
bought flour,5000,Groceries
gas bill for family,15000,Utilities
bought biryani using cash,3750,Food
bought sandwich this month,350,Food
bought handbag using card,9850,Shopping
bought rice in Rawalpindi,9200,Groceries
medical test,5400,Healthcare
general household expense expense,3650,Other
bought fruits using cash,9500,Groceries
bought jeans,5500,Shopping
bought watch in Rawalpindi,14750,Shopping
lunch at restaurant near home,350,Food
doctor consultation for family,6150,Healthcare
bought clothes this week,27950,Shopping
credit card bill in Rawalpindi,3150,Bills
coffee at cafe,1750,Food
rickshaw fare in Rawalpindi,7350,Transport
coffee at cafe using card,750,Food
ordered food delivery in Rawalpindi,400,Food
small miscellaneous payment for family,9050,Other
programming course,32300,Education
lunch at restaurant,4900,Food
medical test payment,1900,Healthcare
mobile package payment,9050,Bills
bought milk today,3950,Groceries
petrol for car today,500,Transport
theme park ticket payment,7800,Entertainment
subscription bill payment,4100,Bills
breakfast at restaurant expense,3650,Food
bank bill payment this month,8150,Bills
unknown household purchase this week,4000,Other
ordered food delivery in Rawalpindi,4750,Food
bought sandwich,1050,Food
general expense,2350,Other
motorcycle fuel,800,Transport
bought sandwich this month,4650,Food
utility payment,14650,Utilities
general household expense expense,4300,Other
motorcycle fuel payment,4100,Transport
bus fare using cash,900,Transport
gas charges using card,13450,Utilities
bought textbook near home,15050,Education
electricity charges this week,14050,Utilities
bus fare using cash,9750,Transport
school fee expense,4000,Education
python course fee today,34450,Education
gas charges using card,12900,Utilities
paid wifi bill,5650,Bills
bought handbag using card,1250,Shopping
miscellaneous item,9500,Other
fuel from petrol station this week,6600,Transport
exam fee using card,7250,Education
bought flour this month,1050,Groceries
bought medicine today,10500,Healthcare
monthly electricity bill payment,550,Utilities
general expense near home,2350,Other
exam fee using card,22900,Education
internet bill payment,14450,Bills
bought shirt for family,5500,Shopping
paid parking fee,3000,Transport
medical test payment,9350,Healthcare
taxi fare using card,700,Transport
grocery shopping for family,2350,Groceries
gas bill,10350,Utilities
programming course this month,18350,Education
random small purchase this month,2900,Other
bought vegetables near home,2850,Groceries
bought prescription medicine using card,2700,Healthcare
gas charges using card,11600,Utilities
water bill near home,3350,Utilities
monthly gas bill expense,3750,Utilities
medical test payment,2000,Healthcare
bought fruits using cash,1450,Groceries
miscellaneous service payment,4300,Other
education fee,29300,Education
bought new shoes,21500,Shopping
paid parking fee expense,2800,Transport
movie ticket today,6600,Entertainment
bought accessories expense,3450,Shopping
bought handbag,21100,Shopping
bought notebook for class,4200,Education
school fee expense,38500,Education
bought prescription medicine using card,2100,Healthcare
bought textbook,48400,Education
medical checkup using cash,7400,Healthcare
online course fee for family,33950,Education
bought jacket using cash,28150,Shopping
ordered food delivery in Rawalpindi,1200,Food
water charges in Rawalpindi,2250,Utilities
paid parking fee expense,2900,Transport
bought notebook for class using cash,14050,Education
medical checkup using cash,5150,Healthcare
monthly phone bill expense,1300,Bills
bought watch in Rawalpindi,19900,Shopping
bought sugar,7250,Groceries
fuel from petrol station this week,4100,Transport
bought sugar expense,1100,Groceries
credit card bill in Rawalpindi,1350,Bills
ordered food delivery,1600,Food
python course fee today,4250,Education
music subscription in Rawalpindi,8750,Entertainment
theme park ticket payment,2800,Entertainment
monthly electricity bill,750,Utilities
paid electricity bill,11300,Utilities
utility payment this month,4400,Utilities
bought textbook near home,45450,Education
electricity payment using cash,13000,Utilities
monthly phone bill expense,4450,Bills
restaurant dinner today,4500,Food
python course fee today,31800,Education
careem ride,2900,Transport
bought bread this week,4900,Groceries
dinner at cafe payment,2900,Food
video game using cash,6700,Entertainment
utility payment this month,12100,Utilities
general household expense expense,5950,Other
bought watch in Rawalpindi,10200,Shopping
miscellaneous item using cash,400,Other
monthly electricity bill payment,3700,Utilities
bought sunglasses this month,15650,Shopping
credit card bill in Rawalpindi,350,Bills
rickshaw fare in Rawalpindi,1500,Transport
online course fee for family,48550,Education
car fuel this month,2050,Transport
bank bill payment this month,4250,Bills
bought sunglasses this month,600,Shopping
careem ride near home,8300,Transport
education fee payment,45600,Education
bought rice in Rawalpindi,2250,Groceries
careem ride near home,1250,Transport
lab test fee expense,14900,Healthcare
phone bill for family,6650,Bills
bought flour this month,6100,Groceries
bank bill payment,7050,Bills
uber ride for family,5150,Transport
water bill near home,8750,Utilities
doctor consultation,4500,Healthcare
clinic visit in Rawalpindi,2750,Healthcare
streaming subscription,4200,Entertainment
bought wallet payment,11600,Shopping
university tuition,48050,Education
training course payment in Rawalpindi,42300,Education
exam fee using card,14000,Education
bought jacket using cash,3500,Shopping
taxi fare using card,1900,Transport
concert ticket,7100,Entertainment
hospital fee near home,5900,Healthcare
subscription bill payment,3600,Bills
lab test fee expense,8950,Healthcare
paid parking fee expense,9600,Transport
internet bill payment today,4400,Bills
bought accessories expense,14050,Shopping
paid wifi bill using cash,9350,Bills
training course payment in Rawalpindi,43150,Education
bought clothes this week,15100,Shopping
exam fee,950,Education
bought jacket using cash,25400,Shopping
training course payment in Rawalpindi,6400,Education
movie ticket today,9350,Entertainment
uber ride for family,5200,Transport
monthly gas bill expense,4600,Utilities
movie night,800,Entertainment
phone bill for family,14400,Bills
random small purchase this month,8750,Other
unknown household purchase this week,9950,Other
phone bill for family,14400,Bills
hospital fee near home,6350,Healthcare
cinema ticket this week,6950,Entertainment
electricity payment using cash,8000,Utilities
rickshaw fare in Rawalpindi,7550,Transport
utility payment this month,14100,Utilities
bought wallet,13200,Shopping
doctor consultation for family,13450,Healthcare
taxi fare using card,2800,Transport
petrol for car today,8450,Transport
sports event ticket expense,6050,Entertainment
medical checkup using cash,450,Healthcare
phone bill,7250,Bills
programming course this month,46050,Education
car fuel this month,1850,Transport
bought handbag using card,8900,Shopping
mobile phone bill this week,1600,Bills
car fuel,10000,Transport
python course fee today,45500,Education
streaming subscription using card,3350,Entertainment
careem ride near home,9650,Transport
small miscellaneous payment,400,Other
bought biryani using cash,850,Food
miscellaneous expense today,3500,Other
bought eggs using card,2650,Groceries
bought jeans near home,21000,Shopping
bought eggs using card,3600,Groceries
doctor consultation for family,12400,Healthcare
water charges in Rawalpindi,3350,Utilities
bought textbook near home,27550,Education
monthly gas bill,3400,Utilities
bought burger for family,3650,Food
coffee at cafe using card,200,Food
dinner at cafe payment,4650,Food
paid electricity bill today,13300,Utilities
uber ride for family,6400,Transport
education fee payment,5950,Education
concert ticket for family,3250,Entertainment
pharmacy purchase this week,14450,Healthcare
bought eggs using card,3300,Groceries
bought bread,3550,Groceries
bought medicine today,12400,Healthcare
miscellaneous item using cash,8300,Other
education fee payment,36500,Education
monthly electricity bill payment,10050,Utilities
ordered pizza this week,1150,Food
miscellaneous service payment,7700,Other
mobile phone bill this week,11600,Bills
clinic visit,5700,Healthcare
bought shirt for family,11400,Shopping
bought jacket,3600,Shopping
phone bill for family,2650,Bills
bought biryani,1950,Food
bought watch,17850,Shopping
subscription bill payment,6350,Bills
petrol for car,8250,Transport
clinic visit in Rawalpindi,1800,Healthcare
monthly phone bill expense,14250,Bills
hospital fee near home,13500,Healthcare
electricity charges this week,5050,Utilities
bought cooking oil payment,5050,Groceries
bought shirt for family,22150,Shopping
bought prescription medicine using card,3350,Healthcare
bought bread this week,8200,Groceries
bought sandwich this month,800,Food
bought burger for family,3050,Food
bought sunglasses this month,24150,Shopping
movie night this month,7800,Entertainment
bought medicine,12450,Healthcare
credit card bill in Rawalpindi,10700,Bills
bought sandwich this month,4350,Food
paid wifi bill using cash,14650,Bills
bought medicine today,8750,Healthcare
bought new shoes today,10200,Shopping
bought wallet payment,20450,Shopping
gas bill for family,9200,Utilities
mobile package payment using card,500,Bills
motorcycle fuel payment,4700,Transport
grocery shopping for family,8100,Groceries
taxi fare using card,5550,Transport
motorcycle fuel payment,3250,Transport
other personal expense in Rawalpindi,2550,Other
dinner at cafe,4900,Food
music subscription in Rawalpindi,7600,Entertainment
general expense near home,1450,Other
bought fruits using cash,7550,Groceries
movie ticket,7600,Entertainment
bought biryani using cash,3950,Food
water charges,6900,Utilities
restaurant dinner today,1950,Food
school fee expense,15950,Education
miscellaneous service payment,2650,Other
internet charges,7500,Bills
clinic visit in Rawalpindi,6600,Healthcare
bought accessories expense,21300,Shopping
paid wifi bill using cash,11300,Bills
internet bill payment today,1200,Bills
movie night this month,3500,Entertainment
clinic visit in Rawalpindi,5750,Healthcare
dental checkup,14100,Healthcare
doctor consultation for family,11500,Healthcare
bought handbag using card,8400,Shopping
random small purchase,8650,Other
bought clothes,24400,Shopping
miscellaneous service payment,6950,Other
other personal expense in Rawalpindi,5200,Other
gaming purchase,950,Entertainment
python course fee,16650,Education
bought accessories expense,4350,Shopping
pharmacy purchase,14350,Healthcare
electricity charges this week,7300,Utilities
lunch at restaurant near home,2350,Food
dental checkup this month,6050,Healthcare
mobile phone bill,4250,Bills
paid electricity bill today,1950,Utilities
sports event ticket,6300,Entertainment
bought accessories,10300,Shopping
taxi fare,4250,Transport
bought vegetables,9500,Groceries
school fee expense,48200,Education
ordered pizza,900,Food
mobile phone bill this week,5650,Bills
small miscellaneous payment for family,3650,Other
breakfast at restaurant expense,2400,Food
monthly phone bill expense,7000,Bills
bought milk today,2250,Groceries
bought prescription medicine,11100,Healthcare
bought biryani using cash,1950,Food
bought jeans near home,7650,Shopping
bank bill payment this month,2200,Bills
training course payment in Rawalpindi,48250,Education
bought bread this week,8300,Groceries
sports event ticket expense,8750,Entertainment
general expense near home,2950,Other
grocery shopping,750,Groceries
streaming subscription using card,1850,Entertainment
bought jacket using cash,22100,Shopping
pharmacy purchase this week,6500,Healthcare
lunch at restaurant near home,750,Food
streaming subscription using card,1200,Entertainment
bought cooking oil payment,8450,Groceries
programming course this month,28850,Education
bought jeans near home,3050,Shopping
water charges in Rawalpindi,4500,Utilities
theme park ticket payment,700,Entertainment
small miscellaneous payment for family,3400,Other
bus fare using cash,7550,Transport
music subscription,900,Entertainment
miscellaneous expense today,950,Other
sports event ticket expense,1050,Entertainment
hospital fee near home,10700,Healthcare
bought fruits,6050,Groceries
bought textbook near home,26400,Education
bought milk,7900,Groceries
other personal expense,5350,Other
electricity payment using cash,8100,Utilities
mobile package payment using card,14600,Bills
monthly gas bill expense,6600,Utilities
other personal expense in Rawalpindi,550,Other
utility payment this month,9750,Utilities
monthly gas bill expense,7200,Utilities
bought cooking oil,1200,Groceries
dinner at cafe payment,2450,Food
video game using cash,5250,Entertainment
bought prescription medicine using card,12700,Healthcare
bought shirt,3250,Shopping
ordered pizza this week,3400,Food
gaming purchase near home,900,Entertainment
general household expense,3250,Other
paid electricity bill today,14200,Utilities
bought watch in Rawalpindi,5250,Shopping
internet charges near home,2900,Bills
electricity charges this week,6650,Utilities
exam fee using card,34650,Education
bought jeans near home,28950,Shopping
internet charges near home,11100,Bills
gaming purchase near home,3550,Entertainment
bought sunglasses,6050,Shopping
theme park ticket,7650,Entertainment
paid parking fee expense,2100,Transport
petrol for car today,7250,Transport
electricity charges,2100,Utilities
school fee,5600,Education
bought sugar expense,3650,Groceries
online course fee for family,19400,Education
bought flour this month,8900,Groceries
miscellaneous service,9500,Other
movie ticket today,1200,Entertainment
medical checkup using cash,11850,Healthcare
other personal expense in Rawalpindi,6100,Other
fuel from petrol station this week,6450,Transport
general household expense expense,5650,Other
restaurant dinner today,1650,Food
monthly electricity bill payment,8350,Utilities
bought bread this week,3900,Groceries
rickshaw fare,9900,Transport
bought new shoes today,23150,Shopping
theme park ticket payment,4000,Entertainment
mobile package payment using card,3550,Bills
uber ride,7200,Transport
